date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:39	28039/28039	---M-Z	200	added ('OK')	text/html	etag:%226d87-555297cdcd039-gzip%22	https://bigbangthemes.net/3Angle_HTML/	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/index.html	(from )
21:57:39	468/468	---M-Z	200	added ('OK')	text/plain	etag:%224e6-5553e5efbae6c-gzip%22	https://bigbangthemes.net/robots.txt		(from )
21:57:39	33755/33755	---M-Z	200	added ('OK')	text/css	etag:%2283db-4eb79cfe05b80-gzip%22	https://bigbangthemes.net/3Angle_HTML/css/bootstrap.css	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/css/bootstrap.css	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:40	50075/50075	---M-Z	200	added ('OK')	text/css	etag:%22c39b-4eb79cfef9dc0-gzip%22	https://bigbangthemes.net/3Angle_HTML/css/layout.css	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/css/layout.css	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:40	4742/4742	---M--	200	added ('OK')	image/png	etag:%221286-4eb79cffee000%22	https://bigbangthemes.net/3Angle_HTML/img/main-logo.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/main-logo.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:40	28039/28039	---M-Z	200	added ('OK')	text/html	etag:%226d87-555297cdcd039-gzip%22	https://bigbangthemes.net/3Angle_HTML/index.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/index-2.html	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:40	21845/21845	---M-Z	200	added ('OK')	text/html	etag:%225555-555297bab3761-gzip%22	https://bigbangthemes.net/3Angle_HTML/about.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/about.html	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:41	16755/16755	---M-Z	200	added ('OK')	text/html	etag:%224173-555297da251bc-gzip%22	https://bigbangthemes.net/3Angle_HTML/services.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/services.html	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:41	24225/24225	---M-Z	200	added ('OK')	text/html	etag:%225ea1-555297d4c816a-gzip%22	https://bigbangthemes.net/3Angle_HTML/portfolio.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/portfolio.html	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:41	19039/19039	---M-Z	200	added ('OK')	text/html	etag:%224a5f-555297c192374-gzip%22	https://bigbangthemes.net/3Angle_HTML/blog.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/blog.html	(from https://bigbangthemes.net/3Angle_HTML/)
